
央视,#genre#
CCTV1[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226635/index.m3u8
CCTV1[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226694/index.m3u8
CCTV1[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226705/index.m3u8
CCTV1[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226736/index.m3u8
CCTV1[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226737/index.m3u8
CCTV1[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226823/index.m3u8
CCTV2[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226739/index.m3u8
CCTV3[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226720/index.m3u8
CCTV4[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226725/index.m3u8
CCTV5+[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226711/index.m3u8
CCTV5[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226731/index.m3u8
CCTV6[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226699/index.m3u8
CCTV7[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226721/index.m3u8
CCTV8[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226715/index.m3u8
CCTV9[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226651/index.m3u8
CCTV9[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226657/index.m3u8
CCTV10[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226708/index.m3u8
CCTV11[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226714/index.m3u8
CCTV12[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226723/index.m3u8
CCTV12[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226748/index.m3u8
CCTV13[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226717/index.m3u8
CCTV14[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226645/index.m3u8
CCTV14[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226663/index.m3u8
CCTV15[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226648/index.m3u8
CCTV16[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226825/index.m3u8
CCTV17[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226660/index.m3u8
CCTV17[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226727/index.m3u8
CETV1[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226712/index.m3u8
CETV1[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226673/index.m3u8
CETV2[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226718/index.m3u8
CETV3[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226722/index.m3u8
CETV4[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226724/index.m3u8
CGTN[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226666/index.m3u8

卫视,#genre#
湖南卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226698/index.m3u8
浙江卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226690/index.m3u8
东南卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226670/index.m3u8
东方卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226734/index.m3u8
江苏卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226692/index.m3u8
东南卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226675/index.m3u8
云南卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226709/index.m3u8
兵团卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226661/index.m3u8
内蒙古卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226685/index.m3u8
北京卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226719/index.m3u8
厦门卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226695/index.m3u8
吉林卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226671/index.m3u8
四川卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226659/index.m3u8
四川卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226697/index.m3u8
天津卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226686/index.m3u8
宁夏卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226691/index.m3u8
安徽卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226655/index.m3u8
安徽卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226664/index.m3u8
山东卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226693/index.m3u8
山西卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226704/index.m3u8
广东卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221227161/index.m3u8
广西卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226681/index.m3u8
新疆卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226700/index.m3u8
江西卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226682/index.m3u8
江西卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226726/index.m3u8
河北卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226684/index.m3u8
河北卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226665/index.m3u8
河南卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226668/index.m3u8
河南卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226687/index.m3u8
海南卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226679/index.m3u8
海南卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226683/index.m3u8
深圳卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226688/index.m3u8
湖北卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226713/index.m3u8
甘肃卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226662/index.m3u8
西藏卫视[1024*576],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226710/index.m3u8
贵州卫视[1920*1080],http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226672/index.m3u8
