央视,#genre#
CCTV1综合,http://115.171.216.191:4000/udp/225.1.8.1:8008
CCTV2财经,http://115.171.216.191:4000/udp/225.1.8.2:8084
CCTV3综艺,http://115.171.216.191:4000/udp/225.1.8.88:8000
CCTV4中文国际,http://115.171.216.191:4000/udp/225.1.8.4:8092
CCTV5体育,http://115.171.216.191:4000/udp/225.1.8.89:8000
CCTV6电影,http://115.171.216.191:4000/udp/225.1.8.84:8000
CCTV7国防军事,http://115.171.216.191:4000/udp/225.1.8.7:8104
CCTV8电视剧,http://115.171.216.191:4000/udp/225.1.8.85:8000
CCTV9纪录,http://115.171.216.191:4000/udp/225.1.8.9:8112
CCTV10科教,http://115.171.216.191:4000/udp/225.1.8.10:8116
CCTV11戏曲,http://115.171.216.191:4000/udp/225.1.8.73:8120
CCTV12社会与法,http://115.171.216.191:4000/udp/225.1.8.12:8124
CCTV13新闻,http://115.171.216.191:4000/udp/225.1.8.168:8130
CCTV14少儿,http://115.171.216.191:4000/udp/225.1.8.14:8132
CCTV15音乐,http://115.171.216.191:4000/udp/225.1.8.74:8136
CCTV17农业农村,http://115.171.216.191:4000/udp/225.1.8.17:8144
CCTV5+体育赛事,http://115.171.216.191:4000/udp/225.1.8.20:8004
CETV1,http://115.171.216.191:4000/udp/225.1.8.32:8152
酥麻台灣,#genre#
美亚电影,http://39.101.75.133:80/美亚电影-盗源者死全家/易發TV/hls.m3u8
爱尔达综合300,http://220.249.51.134:10006/爱尔达300-盗源者死全家/易發TV/hls.m3u8
Now 新闻,http://139.196.45.155:80/now新闻-盗源者死全家/易發TV/hls.m3u8
东森新闻,http://220.249.51.134:10006/东森新闻-盗源者死全家/易發TV/hls.m3u8
中天新闻,http://220.249.51.134:10006/中天新闻-盗源者死全家/易發TV/hls.m3u8
中天新闻2,http://139.196.45.155:80/中天新闻-盗源者死全家/易發TV/hls.m3u8
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
台视,rtmp://f13h.mine.nu/sat/tv071
民视,rtmp://f13h.mine.nu/sat/tv051
纬来体育,http://mtw.so/5yqGDH
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49号,http://61.221.215.25:8800/hls/49/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
中天新闻,https://short-link.me/LgP6
ELTV生活,http://shuma004.chunfengyun.top:8080/live/56/hls.m3u8
CRIME,http://shuma004.chunfengyun.top:8080/live/29/hls.m3u8
民視第一台,http://shuma004.chunfengyun.top:8080/live/4/hls.m3u8
民視台灣台,http://shuma004.chunfengyun.top:8080/live/5/hls.m3u8
龍華電影台,http://shuma004.chunfengyun.top:8080/live/19/hls.m3u8
CMUSIC音樂台,http://shuma004.chunfengyun.top:8080/live/72/hls.m3u8
博斯運動1,http://shuma004.chunfengyun.top:8080/live/14/hls.m3u8
TVBS歡樂台,http://shuma004.chunfengyun.top:8080/live/24/hls.m3u8
博斯高球1,http://shuma004.chunfengyun.top:8080/live/13/hls.m3u8
博斯网球,http://shuma004.chunfengyun.top:8080/live/16/hls.m3u8
東森新聞,http://shuma004.chunfengyun.top:8080/live/20/hls.m3u8
民视第一,http://shuma004.chunfengyun.top:8080/live/4/hls.m3u8
亚洲旅游,http://shuma004.chunfengyun.top:8080/live/10/hls.m3u8
东森新闻,http://shuma004.chunfengyun.top:8080/live/20/hls.m3u8
三立综合,http://shuma004.chunfengyun.top:8080/live/31/hls.m3u8
民视台湾,http://shuma004.chunfengyun.top:8080/live/5/hls.m3u8
龙华日韩,http://shuma004.chunfengyun.top:8080/live/42/hls.m3u8
龙华戏剧,http://shuma004.chunfengyun.top:8080/live/41/hls.m3u8
龙华电影,http://shuma004.chunfengyun.top:8080/live/19/hls.m3u8
中视经典,http://shuma004.chunfengyun.top:8080/live/47/hls.m3u8
中视青采,http://shuma004.chunfengyun.top:8080/live/48/hls.m3u8
寰宇台湾,http://shuma004.chunfengyun.top:8080/live/63/hls.m3u8
公视戏剧,http://shuma004.chunfengyun.top:8080/live/87/hls.m3u8
CINEMA WORLD,http://shuma004.chunfengyun.top:8080/live/30/hls.m3u8
全球财经,http://shuma004.chunfengyun.top:8080/live/64/hls.m3u8
華視新聞,http://shuma004.chunfengyun.top:8080/live/8/hls.m3u8
互動英語,http://shuma004.chunfengyun.top:8080/live/54/hls.m3u8
Nickelodeon,http://shuma004.chunfengyun.top:8080/live/12/hls.m3u8
CinemaWorld,http://shuma004.chunfengyun.top:8080/live/30/hls.m3u8
LOVE NATURE,http://shuma004.chunfengyun.top:8080/live/84/hls.m3u8
ROCK ACTION,http://shuma004.chunfengyun.top:8080/live/94/hls.m3u8
TECH STORM,http://shuma004.chunfengyun.top:8080/live/80/hls.m3u8
电视剧3,http://shuma004.chunfengyun.top:8080/live/111/hls.m3u8
哆啦A梦,http://shuma004.chunfengyun.top:8080/live/107/hls.m3u8
电视剧2,http://shuma004.chunfengyun.top:8080/live/109/hls.m3u8
镜新闻,http://shuma004.chunfengyun.top:8080/live/62/hls.m3u8
BLOOMBERG,http://shuma004.chunfengyun.top:8080/live/34/hls.m3u8
豬哥亮,http://shuma004.chunfengyun.top:8080/live/35/hls.m3u8
电视剧,http://shuma004.chunfengyun.top:8080/live/108/hls.m3u8
探案台,http://shuma004.chunfengyun.top:8080/live/11/hls.m3u8
DW NEWS,http://shuma004.chunfengyun.top:8080/live/46/hls.m3u8
HISTORY,http://shuma004.chunfengyun.top:8080/live/27/hls.m3u8
hokkotv,http://shuma004.chunfengyun.top:8080/live/1/hls.m3u8
电影,http://shuma004.chunfengyun.top:8080/live/11/hls.m3u8
民视,http://shuma004.chunfengyun.top:8080/live/6/hls.m3u8
中视,http://shuma004.chunfengyun.top:8080/live/7/hls.m3u8
华视,http://shuma004.chunfengyun.top:8080/live/8/hls.m3u8
影迷,http://shuma004.chunfengyun.top:8080/live/92/hls.m3u8
中視,http://shuma004.chunfengyun.top:8080/live/7/hls.m3u8
超人,http://shuma004.chunfengyun.top:8080/live/110/hls.m3u8
综艺,http://shuma004.chunfengyun.top:8080/live/67/hls.m3u8
影剧,http://shuma004.chunfengyun.top:8080/live/88/hls.m3u8
旅游,http://shuma004.chunfengyun.top:8080/live/82/hls.m3u8
民視,http://shuma004.chunfengyun.top:8080/live/6/hls.m3u8
KOREA,http://shuma004.chunfengyun.top:8080/live/52/hls.m3u8
TVBS,http://shuma004.chunfengyun.top:8080/live/23/hls.m3u8
ROCK,http://shuma004.chunfengyun.top:8080/live/70/hls.m3u8
HITS,http://shuma004.chunfengyun.top:8080/live/28/hls.m3u8
CNBC,http://shuma004.chunfengyun.top:8080/live/102/hls.m3u8
momo,http://shuma004.chunfengyun.top:8080/live/3/hls.m3u8
LUXE,http://shuma004.chunfengyun.top:8080/live/86/hls.m3u8
MTV,http://shuma004.chunfengyun.top:8080/live/25/hls.m3u8
MCE,http://shuma004.chunfengyun.top:8080/live/98/hls.m3u8
VOA,http://shuma004.chunfengyun.top:8080/live/45/hls.m3u8
elta生活旅游,http://shuma004.chunfengyun.top:8080/live/85/hls.m3u8
亞洲旅遊台,http://shuma004.chunfengyun.top:8080/live/10/hls.m3u8
靖洋戲劇台,http://shuma004.chunfengyun.top:8080/live/17/hls.m3u8
靖天電影台,http://shuma004.chunfengyun.top:8080/live/18/hls.m3u8
寰宇财经,http://shuma004.chunfengyun.top:8080/live/65/hls.m3u8
智林体育,http://shuma004.chunfengyun.top:8080/live/77/hls.m3u8
東森購物,http://shuma004.chunfengyun.top:8080/live/66/hls.m3u8
人间卫视,http://shuma004.chunfengyun.top:8080/live/101/hls.m3u8
八大綜合,http://shuma004.chunfengyun.top:8080/live/21/hls.m3u8
幸福空間,http://shuma004.chunfengyun.top:8080/live/26/hls.m3u8
東森購物,http://shuma004.chunfengyun.top:8080/live/61/hls.m3u8
博斯無限,http://shuma004.chunfengyun.top:8080/live/15/hls.m3u8
LIFE TIME,http://shuma004.chunfengyun.top:8080/live/71/hls.m3u8
